code,name,la,ln,Trains,train_orig
AADR,AMB ANDAURA,76.110391,31.670727,2,1
AAG,ANGAR,75.599875,17.954256,2,0
AAL,AMLAI,81.593507,23.173469,19,0
AAM,ANGADIPPURAM,76.207343,10.979489,2,0
AAS,ASRANADA,73.305325,26.397374,4,0
AAY,ARALVAYMOZHI,77.52926469,8.249451361,6,0
AB,AMBUR,78.721266,12.782934,25,0
ABD,AMBLI ROAD,72.494044,23.05437,4,0
ABFC,AMBARI FALAKATA,88.510593,26.641553,2,0
ABH,AMBARNATH,73.184756,19.210382,6,0
ABI,AMBATURAI,77.924468,10.272226,2,0
ABKA,AMBIKA KALNA,88.353984,23.211377,15,0
ABKP,AMBIKAPUR,83.145109,23.137032,6,3
ABLE,AMBALE,74.171511,18.398719,1,0
ABP,AKBARPUR,82.539073,26.429818,39,0
ABR,ABU ROAD,72.775695,24.470775,93,0
ABS,ABOHAR,74.19568618,30.13938342,17,1
ABZ,ADGAON BUZURG,76.955924,21.123876,4,0
ACL,ANCHELI,72.944978,20.845167,5,0
ACLE,AZIMGANJ CITY,88.258871,24.237941,2,0
ACND,A N DEV NAGAR,82.156997,26.774576,13,0
AD,ADONI,77.27485,15.617035,54,0
ADB,ADILABAD,78.535285,19.680104,10,1
ADD,ADAS ROAD,73.03469445,22.48662808,4,0
ADF,ADINA,88.12318,25.114397,2,0
ADH,ANDHERI,72.846853,19.1174289,26,0
ADI,AHMEDABAD JN,72.601516,23.025515,255,44
ADIJ,AHMEDABAD MG,72.601716,23.025715,1,1
ADL,ANDUL,88.239643,22.575169,4,0
ADQ,ADHIKARI,88.16988226,26.57689211,2,0
ADR,MANDI ADAMPUR,75.468851,29.283136,2,0
ADRA,ADRA JN,86.674665,23.495992,44,0
ADST,ADI SAPTAGRAM,88.378872,22.95447,1,0
ADT,ADUTURAI,79.478668,11.009165,6,0
ADTL,ADHARTAL,79.972274,23.227389,4,0
ADTP,ADITYAPUR,86.158954,22.782212,10,0
ADVI,ADAVALI,73.592514,16.921753,6,0
AED,AULENDA,77.612583,27.029152,2,0
AEL,ATELI,76.253105,28.100118,2,0
AF,AGRA FORT,78.0191,27.183308,52,4
AFK,ANGAMALI,76.37786,10.183676,44,0
AFR,ASAFPUR,78.905957,28.405553,4,0
AGA,AGRA CITY,78.0157752,27.1945731,8,0
AGB,AMBAGAON,82.239507,19.062527,2,0
AGC,AGRA CANTT,77.990153,27.157992,155,5
AGD,AGASOD,78.216912,24.234023,4,0
AGI,AMGURI,94.524011,26.812601,10,0
AGL,AMARGOL,75.09820837,15.41179212,2,0
AGMN,AGOMONI,89.786242,26.225947,2,0
AGN,AMGAON,80.3746491,21.36129286,14,0
AGR,AMARGARH,74.747038,23.080689,4,0
AGY,AGORI KHAS,83.056105,24.59896,5,0
AGZ,AMAGURA,82.147342,19.068103,2,0
AH,ACHHNERA JN,77.7578389,27.18176023,33,0
AHA,ABHAIPUR,86.32307246,25.21598646,53,0
AHD,AHERWADI,75.99559,17.504915,2,0
AHH,AHMADGARH,75.829518,30.683642,9,0
AHLR,AHALYAPUR,83.824844,26.468381,2,0
AHN,AHIRAN,88.041125,24.517687,2,0
AI,ADIPUR,70.0786586,23.0770527,12,0
AIA,AJARAKA,76.564209,27.959391,2,0
AIG,ALGAWAN,79.963236,27.700598,2,0
AII,AJMER JN,74.637464,26.456612,125,29
AIT,AIT,79.230436,25.903719,11,0
AJ,AJGAIN,80.620988,26.61721,1,0
AJE,ANJAR,70.0366109,23.1194723,10,0
AJI,ANJHI SHAHABAD,79.973314,27.643994,15,0
AJJ,ARAKKONAM,79.667991,13.081512,110,0
AJK,AJAKOLLU,77.87363616,16.34678333,1,0
AJN,AJNOD,75.738947,22.931326,2,0
AJNI,AJNI,79.08251975,21.12685881,17,1
AJP,AJJAMPUR,76.0097415,13.7283327,3,0
AJRE,AUJARI,92.26680014,26.14464572,2,0
AJU,ARJUNI,80.02258162,20.81658783,2,0
AK,AKOLA JN,77.005497,20.723084,113,3
AKD,AKODIA,76.599245,23.378255,19,0
AKE,AKANAPET,78.396309,18.110863,8,0
AKJ,AKBARGANJ,81.501628,26.531456,6,0
AKN,AKBARNAGAR,86.83453336,25.23488077,18,0
AKOR,AKALKOT ROAD,76.137689,17.450243,6,0
AKOT,AKOT,77.047217,21.095661,4,0
AKP,ANAKAPALLE,83.008851,17.695503,70,1
