train_no,train_name,source_code,source_name,des_code,des_name
'00851',BNC SUVIDHA SPL,BBS ,BHUBANESWAR    ,BNC ,BANGALORE CANT 
'00852',BNC BBS SUVIDHA,BNC ,BANGALORE CANT ,BBS ,BHUBANESWAR    
'01081',DR BSL T F SPL ,DR  ,DADAR          ,BSL ,BHUSAVAL JN    
'01082',BSL DR T F SPL ,BSL ,BHUSAVAL JN    ,DR  ,DADAR          
'01149',BSL CSN T F SPL,BSL ,BHUSAVAL JN    ,CSN ,CHALISGAON JN  
'01150',CSN BSL T F SPL,CSN ,CHALISGAON JN  ,BSL ,BHUSAVAL JN    
'01151',CSN DHI T F SPL,CSN ,CHALISGAON JN  ,DHI ,DHULE          
'01152',DHI CSN T F SPL,DHI ,DHULE          ,CSN ,CHALISGAON JN  
'01153',CSN CSTM T F SP,CSN ,CHALISGAON JN  ,CSTM,MUMBAI CST     
'01154',CSTM CSN T F SP,CSTM,MUMBAI CST     ,CSN ,CHALISGAON JN  
'01156',PVR NAVI KMN SP,PVR ,PANDHARPUR     ,NAVI,NEW AMRAVATI   
'01401',NGP TTKL FARE S,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01402',NGP SUR T F SPL,NGP ,NAGPUR         ,SUR ,SOLAPUR JN     
'01419',PAU TTKL FARE S,KOP ,C SHAHUMHARAJ T,PAU ,PURNA JN       
'01420',PAU KOP SPL    ,PAU ,PURNA JN       ,KOP ,C SHAHUMHARAJ T
'01427',PVR TTKL FAREPA,MRJ ,MIRAJ JN       ,PVR ,PANDHARPUR     
'01428',MRJ TKL FARE PA,PVR ,PANDHARPUR     ,MRJ ,MIRAJ JN       
'01655',PUNE JBP SUP SP,PUNE,PUNE JN        ,JBP ,JABALPUR       
'01656',JBP PUNE SPECIA,JBP ,JABALPUR       ,PUNE,PUNE JN        
'01711',CSTM JBP SPL   ,CSTM,MUMBAI CST     ,JBP ,JABALPUR       
'01712',JBP LTT SUP SPL,JBP ,JABALPUR       ,LTT ,LOKMANYATILAK T
'01713',LTT HBJ SUP SPL,LTT ,LOKMANYATILAK T,HBJ ,HABIBGANJ      
'01714',HBJ CSTM SUP SP,HBJ ,HABIBGANJ      ,CSTM,MUMBAI CST     
'02111',LTT LKO AC SPL ,LTT ,LOKMANYATILAK T,LKO ,LUCKNOW NR     
'02112',LKO  LTT AC SPL,LKO ,LUCKNOW NR     ,LTT ,LOKMANYATILAK T
'02509',BNC KYQ SUVIDHA,BNC ,BANGALORE CANT ,KYQ ,KAMAKHYA       
'02510',KYQ BNC SUVIDHA,KYQ ,KAMAKHYA       ,BNC ,BANGALORE CANT 
'02511',KYQ KUMBH SPL  ,PUNE,PUNE JN        ,KYQ ,KAMAKHYA       
'02512',KYQ PUNE SPECIA,KYQ ,KAMAKHYA       ,PUNE,PUNE JN        
'02590',GORAKHPUR  SPL ,SC  ,SECUNDERABAD JN,GKP ,GORAKHPUR JN   
'02779',VSG SBC LINK EX,VSG ,VASCO DA GAMA  ,SBC ,BANGALORE CY JN
'02853',SUVIDHA SPECIAL,HWH ,HOWRAH JN      ,ERS ,ERNAKULAM JN   
'02873',VSKP TPTY SF SP,VSKP,VISAKHAPATNAM  ,TPTY,TIRUPATI       
'02874',TPTY VSKP SF SP,TPTY,TIRUPATI       ,VSKP,VISAKHAPATNAM  
'02877',KJM SPECIAL    ,VSKP,VISAKHAPATNAM  ,KJM ,KRISHNARAJAPURM
'02878',KJM VSKP EXP   ,KJM ,KRISHNARAJAPURM,VSKP,VISAKHAPATNAM  
'02882',SUVIDHA SPL    ,BBS ,BHUBANESWAR    ,PUNE,PUNE JN        
'03235',SBG DNR SPECIAL,SBG ,SAHIBGANJ JN   ,DNR ,DANAPUR        
'03236',DNR SBG SPL    ,DNR ,DANAPUR        ,SBG ,SAHIBGANJ JN   
'03401',BGP DNR SPECIAL,BGP ,BHAGALPUR      ,DNR ,DANAPUR        
'03402',DNR BGP SPL    ,DNR ,DANAPUR        ,BGP ,BHAGALPUR      
'04401',ANVT SVDK SPL  ,ANVT,ANAND VIHAR TRM,SVDK,SHMATA VD KATRA
'04402',SVDK ANVT SPL  ,SVDK,SHMATA VD KATRA,ANVT,ANAND VIHAR TRM
'04403',LKO ANVT SPL   ,LKO ,LUCKNOW NR     ,ANVT,ANAND VIHAR TRM
